phase,signal,dir,qe,qx,thr_e,thr_x,minh,maxh,stop,lev,killswitch,score,tot,dd,nt,wr,pf,sharpe,tot_train,tot_test,dd_test,cagr_test,pnl_2022,dd_2022,y2020,y2021,y2022,y2023,y2024,y2025,y2026,n_long,n_short
3,SHORT_atm_iv_low_q0.3_below_MA200,,0.3,0.5,,,5,30,0.1,1.0,True,-0.07198433962971684,49.85484920574814,18.601127350061464,40,55.00000000000001,1.8935795094205092,0.571907919839548,38.388994211526864,8.28523616314154,18.601127350061464,2.3684666003948696,13.993416642389223,3.0208950381748383,22.10540551359943,-0.5769934515037156,13.993416642389223,-8.329885450431673,19.197373914850125,1.2607975690883455,-4.363054803696576,,
3,SHORT_atm_iv_low_q0.3_below_MA200,,0.3,0.5,,,5,30,0.1,1.0,False,-0.07198433962971684,49.85484920574814,18.601127350061464,40,55.00000000000001,1.8935795094205092,0.571907919839548,38.388994211526864,8.28523616314154,18.601127350061464,2.3684666003948696,13.993416642389223,3.0208950381748383,22.10540551359943,-0.5769934515037156,13.993416642389223,-8.329885450431673,19.197373914850125,1.2607975690883455,-4.363054803696576,,
3,SHORT_atm_iv_low_q0.3_below_MA200,,0.3,0.5,,,5,30,0.15,1.0,True,-0.5787201192989624,48.644710201564045,19.2584564335872,40,55.00000000000001,1.8665624408474841,0.558437865493931,38.388994211526864,7.410788732492235,19.2584564335872,2.124662454135917,13.993416642389223,3.0208950381748383,22.10540551359943,-0.5769934515037156,13.993416642389223,-9.070158999952538,19.197373914850104,1.2607975690883455,-4.363054803696576,,
3,varswap_iv_q0.8_ma200_only,,0.8,0.4,,,10,90,0.1,1.0,True,-1.759521185819683,-1.8897513488391082,32.60909464163265,6,50.0,1.08058197487139,0.058594787911032,-23.17376579314199,27.70409699764109,10.856904648054835,7.456562199778816,-12.939041163077336,32.47902294363341,-11.755814278631727,0.0,-12.939041163077336,0.0,16.854619690643524,9.28459425542616,0.0,,
3,SHORT_atm_iv_low_q0.2_below_MA200,,0.2,0.5,,,5,30,0.15,1.0,True,-2.192382275797561,17.291931191194276,17.85402735827807,27,59.25925925925925,1.497593358427913,0.28820691056235737,17.494654357645523,-0.17253820402260978,17.85402735827807,-0.050771332486332366,0.0,0.0,17.494654357645523,0.0,0.0,-12.33556550405307,12.711400759666859,4.607626428144229,-5.33464692874065,,
4,vsw_q0.7+leverdown_RVI60,,0.7,0.4,,,10,90,0.15,1.0,True,-3.428872026121068,6.026803295844774,33.498814945127506,13,76.92307692307693,1.2656246461200287,0.14067544300525095,-23.707058389091983,40.058422436155205,22.966586979485186,10.414708300503683,-27.52473185593225,33.498814945127506,5.267553421467053,0.0,-27.52473185593225,12.239493083081898,14.331428801672486,11.25948498122835,0.0,,
4,atm_iv_q0.7+MA200+RVI<70+kill,,0.7,0.4,,,10,90,0.08,1.0,True,-15.03129452586851,-18.85767380632979,23.617923621259894,7,28.57142857142857,0.42091376943660885,-0.33380346717722686,-15.887672398454566,-3.530994198549142,23.033456846383633,-1.0516100677786855,-15.887672398454566,15.895588568556592,0.0,0.0,-15.887672398454566,4.128932092623416,0.0,-7.356194034871111,0.0,,
4,atm_iv_q0.7+MA200+RVI<70+kill,,0.7,0.4,,,10,90,0.12,1.0,True,-17.70622188837546,-26.321538749805395,26.90495908643688,7,28.57142857142857,0.2809858239336264,-0.517827174432251,-19.340705568463832,-8.654716397583806,23.192493345343056,-2.6270128796990866,-19.340705568463832,19.348296758878323,0.0,0.0,-19.340705568463832,4.128932092623416,0.0,-12.276749826682254,0.0,,
4,vsw_q0.7+RVI<70,,0.7,0.4,,,10,90,0.15,1.0,True,-32.52997453887281,-22.627318436153065,48.85036620953049,13,69.23076923076923,0.8040946067789148,-0.10952808767574568,-44.3254979558429,40.058422436155205,22.966586979485182,10.414708300503683,-25.963121799662325,32.42277876920931,-24.80166182384608,0.0,-25.963121799662325,12.239493083081875,14.331428801672486,11.25948498122835,0.0,,
4,vsw_q0.7+timestop_war2022_(post-hoc),,0.7,0.4,,,10,90,0.15,1.0,True,-32.52997453887281,-22.627318436153065,48.85036620953049,13,69.23076923076923,0.8040946067789148,-0.10952808767574568,-44.3254979558429,40.058422436155205,22.966586979485182,10.414708300503683,-25.963121799662325,32.42277876920931,-24.80166182384608,0.0,-25.963121799662325,12.239493083081875,14.331428801672486,11.25948498122835,0.0,,
4,vsw_q0.7+leverdown_RVI60,,0.7,0.4,,,10,90,0.1,1.0,True,-39.42321876148449,-27.111165629235035,48.35645456474807,15,60.0,0.7424845515065654,-0.21116446177121945,-44.08317031847244,31.370056824148485,21.924103776025998,8.354678928217819,-35.764984039274104,38.19690241877421,-12.949613469831133,0.0,-35.764984039274104,12.239493083081875,14.331428801672486,4.357628837866989,0.0,,
4,vsw_q0.7+timestop_war2022_(post-hoc),,0.7,0.4,,,10,90,0.1,1.0,True,-49.749632377711684,-37.49020945974766,63.53021620293195,15,60.0,0.7590525077884857,-0.16084608968993352,-54.98389303619052,39.94520816374354,23.033456846383622,10.388453334797587,-48.451718016959234,58.47296892217013,-12.67195485075595,0.0,-48.451718016959234,12.239493083081898,14.331428801672486,11.169549928255806,0.0,,
4,vsw_q0.7+RVI<70,,0.7,0.4,,,10,90,0.1,1.0,True,-50.003511150020884,-39.180902494728564,63.16929750155723,15,60.0,0.7302174735172138,-0.17896906406697638,-56.201437005669334,39.945208163743494,23.033456846383636,10.388453334797587,-49.84593675550768,58.06200179903179,-12.67195485075595,0.0,-49.84593675550768,12.239493083081854,14.331428801672486,11.169549928255806,0.0,,
5,DUAL_vsw_long+rvi_low_q0.3_short,,0.7,0.3,,,10,60,0.1,1.0,True,2.624435308107685,69.20244339394745,23.033456846383622,18,72.22222222222221,2.5055622548243415,0.6862438448373653,31.356769111477067,28.811362016945097,23.033456846383622,7.729726364029932,-2.97302772456266,14.136971092831688,35.38170472699622,0.0,-2.97302772456266,1.3934351700003234,29.030139617625306,2.2022848781312776,-3.663123114547906,4.0,14.0
5,DUAL_vsw_long+rvi_low_q0.3_short,,0.7,0.3,,,10,60,0.1,1.0,False,-0.4866376302279214,51.11808566680467,24.77510209844635,19,68.42105263157895,1.9755103130733174,0.5404691613896574,17.317357180747095,28.811362016945075,23.033456846383633,7.729726364029932,-13.343270852347999,24.77510209844635,35.38170472699622,0.0,-13.343270852347999,1.3934351700003011,29.03013961762526,2.2022848781312776,-3.6631231145478838,5.0,14.0
5,DUAL_vsw_long+rvi_low_q0.2_short,,0.7,0.2,,,10,60,0.1,1.0,True,-1.3121244292379712,35.6318066283386,23.033456846383622,10,70.0,2.2906722088897298,0.46732191052510613,7.85203115475448,25.757303943329134,23.033456846383622,6.972203134024846,-13.56981608236456,14.136971092831693,24.78514595957959,0.0,-13.56981608236456,7.100503372463951,19.258279048955963,2.2022848781312776,-3.663123114547895,4.0,6.0
5,DUAL_vsw_long+rvi_low_q0.3_short,,0.7,0.3,,,10,60,0.15,1.0,True,-2.2860983424699883,43.63770648768941,22.966586979485175,17,70.58823529411765,2.0756457727311117,0.4721832647337255,23.829644981581243,15.996219248673803,22.966586979485175,4.4604229056315114,-8.532954854358099,19.057171864552846,35.38170472699622,0.0,-8.532954854358099,-8.676405472713867,29.030139617625284,2.1826371585231152,-3.663123114547895,3.0,14.0
5,DUAL_vsw_long+rvi_low_q0.2_short,,0.7,0.2,,,10,60,0.15,1.0,True,-2.777234725077186,27.835130248977393,23.467739927292065,10,70.0,2.254335939599645,0.37115429975556063,1.6717967317056548,25.73312792564517,22.966586979485182,6.9661550114185955,-18.522516482339025,19.05717186455285,24.78514595957959,0.0,-18.522516482339025,7.100503372463973,19.258279048955963,2.1826371585231152,-3.663123114547895,4.0,6.0
